param_name,param_value,scenario_id,scenario_name,margin_rate,gross_profit,margin_ok
shipping_buffer,0,S01,単品エゾシカ高単価,0.0928,615,False
shipping_buffer,0,S02,単品エゾシカ低単価,-0.0713,-155,False
shipping_buffer,0,S03,エゾシカ2品,0.0173,90,False
shipping_buffer,0,S04,エゾシカ3品,0.0394,282,False
shipping_buffer,0,S05,エゾシカ4品以上,-0.0047,-38,False
shipping_buffer,0,S06,エゾシカ+乳製品,-0.24,-1080,False
shipping_buffer,0,S07,エゾシカ+日本酒,-0.0192,-175,False
shipping_buffer,0,S08,3仕入先,-0.4632,-2200,False
shipping_buffer,0,S09,低単価単品・遠方,-0.3486,-610,False
shipping_buffer,0,S10,高単価まとめ・近場,0.1257,1372,False
shipping_buffer,200,S01,単品エゾシカ高単価,0.1194,815,False
shipping_buffer,200,S02,単品エゾシカ低単価,0.0189,45,False
shipping_buffer,200,S03,エゾシカ2品,0.0875,490,False
shipping_buffer,200,S04,エゾシカ3品,0.1136,882,False
shipping_buffer,200,S05,エゾシカ4品以上,0.085,762,False
shipping_buffer,200,S06,エゾシカ+乳製品,-0.1388,-680,False
shipping_buffer,200,S07,エゾシカ+日本酒,0.0236,225,False
shipping_buffer,200,S08,3仕入先,-0.2991,-1600,False
shipping_buffer,200,S09,低単価単品・遠方,-0.2103,-410,False
shipping_buffer,200,S10,高単価まとめ・近場,0.1713,1972,True
shipping_buffer,300,S01,単品エゾシカ高単価,0.1321,915,False
shipping_buffer,300,S02,単品エゾシカ低単価,0.0586,145,False
shipping_buffer,300,S03,エゾシカ2品,0.119,690,False
shipping_buffer,300,S04,エゾシカ3品,0.1466,1182,False
shipping_buffer,300,S05,エゾシカ4品以上,0.1241,1162,False
shipping_buffer,300,S06,エゾシカ+乳製品,-0.0941,-480,False
shipping_buffer,300,S07,エゾシカ+日本酒,0.0437,425,False
shipping_buffer,300,S08,3仕入先,-0.2301,-1300,False
shipping_buffer,300,S09,低単価単品・遠方,-0.1512,-310,False
shipping_buffer,300,S10,高単価まとめ・近場,0.1923,2272,True
shipping_buffer,400,S01,単品エゾシカ高単価,0.1445,1015,False
shipping_buffer,400,S02,単品エゾシカ低単価,0.0951,245,False
shipping_buffer,400,S03,エゾシカ2品,0.1483,890,False
shipping_buffer,400,S04,エゾシカ3品,0.1772,1482,True
shipping_buffer,400,S05,エゾシカ4品以上,0.16,1562,True
shipping_buffer,400,S06,エゾシカ+乳製品,-0.0528,-280,False
shipping_buffer,400,S07,エゾシカ+日本酒,0.063,625,False
shipping_buffer,400,S08,3仕入先,-0.1681,-1000,False
shipping_buffer,400,S09,低単価単品・遠方,-0.0977,-210,False
shipping_buffer,400,S10,高単価まとめ・近場,0.2124,2572,True
shipping_buffer,500,S01,単品エゾシカ高単価,0.1565,1115,True
shipping_buffer,500,S02,単品エゾシカ低単価,0.129,345,False
shipping_buffer,500,S03,エゾシカ2品,0.1758,1090,True
shipping_buffer,500,S04,エゾシカ3品,0.2057,1782,True
shipping_buffer,500,S05,エゾシカ4品以上,0.1931,1962,True
shipping_buffer,500,S06,エゾシカ+乳製品,-0.0145,-80,False
shipping_buffer,500,S07,エゾシカ+日本酒,0.0815,825,False
shipping_buffer,500,S08,3仕入先,-0.112,-700,False
shipping_buffer,500,S09,低単価単品・遠方,-0.0489,-110,False
shipping_buffer,500,S10,高単価まとめ・近場,0.2314,2872,True
shipping_buffer,600,S01,単品エゾシカ高単価,0.1682,1215,True
shipping_buffer,600,S02,単品エゾシカ低単価,0.1604,445,True
shipping_buffer,600,S03,エゾシカ2品,0.2016,1290,True
shipping_buffer,600,S04,エゾシカ3品,0.2323,2082,True
shipping_buffer,600,S05,エゾシカ4品以上,0.2236,2362,True
shipping_buffer,600,S06,エゾシカ+乳製品,0.0211,120,False
shipping_buffer,600,S07,エゾシカ+日本酒,0.0993,1025,False
shipping_buffer,600,S08,3仕入先,-0.0611,-400,False
shipping_buffer,600,S09,低単価単品・遠方,-0.0043,-10,False
shipping_buffer,600,S10,高単価まとめ・近場,0.2495,3172,True
shipping_buffer,700,S01,単品エゾシカ高単価,0.1795,1315,True
shipping_buffer,700,S02,単品エゾシカ低単価,0.1896,545,True
shipping_buffer,700,S03,エゾシカ2品,0.2258,1490,True
shipping_buffer,700,S04,エゾシカ3品,0.2572,2382,True
shipping_buffer,700,S05,エゾシカ4品以上,0.252,2762,True
shipping_buffer,700,S06,エゾシカ+乳製品,0.0542,320,False
